ID_ALIAS,ID_LOCALIZACION_COMPRA,ID_AJENO,STOCK_MINIMO,STOCK_MAXIMO,STOCK_RECUENTOS,STOCK_TEORICO,FECHA_HORA_EJECUCION_STOCK_RECUENTOS,FECHA_HORA_EJECUCION_STOCK_TEORICO,FECHA_ALTA,USUARIO_ALTA,FECHA_MODIFICACION,USUARIO_MODIFICACION,FECHA_BAJA,USUARIO_BAJA,FECHA_HORA_ACTUALIZACION_STOCK_TEORICO,CAPACIDAD_MAXIMA,ID_ALIAS_ANALYTICS,STOCK_RECUENTOS_VALIDADO_BULTOS,STOCK_MINIMO_BULTOS,CAPACIDAD_MAXIMA_VALIDADA_BULTOS,RN,año_mes,necesita_reposicion,cantidad_a_reponer,log_cantidad_a_reponer
135,16799,,,100,0.0,1927,2025-06-04 16:10:31.436,2025-06-05 09:15:17.745,2024-06-05 13:35:35.403,RAM,2025-06-04 16:27:52.546,BATCH_RAM,,,2025-05-26 00:00:00.000,200.0,,,,1),(135,2025-06,1,160.0,5.081404364984463
232,16821,,,100,350.0,0,2025-06-04 14:32:04.680,2025-06-20 09:15:20.300,2024-07-26 11:50:17.106,RAM,2025-06-09 13:41:06.897,BATCH_RAM,,,2025-04-02 00:00:00.000,1750.0,,,,NULL),(232,2025-06,1,1050.0,6.957497370876951
239,7323,,,100,3000.0,0,2024-08-05 11:37:30.522,2024-10-28 01:46:19.979,2024-07-30 12:00:28.212,RAM,2024-08-09 14:06:40.973,BATCH_RAM,2024-11-04 21:48:59.790,annarcay,2024-05-27 00:00:00.000,8000.0,,,,NULL),(239,2024-08,0,3400.0,8.131824785007195
239,7377,,,100,1000.0,0,2024-08-01 16:15:12.457,2024-10-28 01:46:19.979,2024-07-30 12:00:28.212,RAM,2024-08-09 14:06:41.443,BATCH_RAM,2024-11-04 21:48:59.790,annarcay,2024-05-27 00:00:00.000,8000.0,,,,NULL),(239,2024-08,1,5400.0,8.594339400592892
239,7619,,,100,1000.0,0,2024-08-01 16:15:48.755,2024-10-28 01:46:19.979,2024-07-30 12:00:28.212,RAM,2024-08-09 14:06:45.086,BATCH_RAM,2024-11-04 21:48:59.790,annarcay,2024-05-20 00:00:00.000,8000.0,,,,NULL),(239,2024-08,1,5400.0,8.594339400592892
243,5468,,,100,4.0,2585,2024-08-05 12:14:04.721,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-12 16:08:56.962,BATCH_RAM,,,2025-04-02 00:00:00.000,4.0,,4,,4),(243,2024-08,0,0.0,0.0
171,16727,,,100,0.0,45,2025-05-30 16:26:54.582,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-04-02 00:00:00.000,100.0,,,,NULL),(171,2025-05,1,80.0,4.394449154672439
183,16745,,,100,15.0,0,2024-11-12 14:52:00.271,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-01-17 15:20:32.384,BATCH_RAM,,,2025-03-22 00:00:00.000,15.0,,,,NULL),(183,2024-11,0,0.0,0.0
184,16727,,,100,15.0,0,2025-05-30 16:26:54.582,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-03-22 00:00:00.000,30.0,,,,NULL),(184,2025-05,0,9.0,2.302585092994046
186,16745,,,100,0.0,0,2024-11-12 14:52:00.268,2025-06-20 09:15:20.300,2024-07-30 12:00:28.212,RAM,2025-01-17 15:20:33.660,BATCH_RAM,,,2025-03-22 00:00:00.000,25.0,,,,NULL),(186,2024-11,1,20.0,3.044522437723423
