feature,importance
alias_coef_variacion,343
alias_pct_temporada_alta,192
dia_del_año,180
loc_diversidad_alias,168
alias_frecuencia,167
antiguedad_normalizada,149
alias_pct_fin_semana,137
dia_semana_sen,95
weekday,54
mes_cos,41
semana_del_año,39
dia_semana_cos,30
loc_tamaño_Pequeña,29
loc_tamaño_Grande,25
loc_tamaño_Mediana,22
alias_popularidad_Media,20
mes_sen,13
es_alias_popular_loc_grande,12
dato_medio,6
es_alias_popular_loc_pequeña,6
dato_reciente,5
dato_antiguo,3
alias_popularidad_Baja,2
alias_popularidad_Alta,1
ID_AJENO,0
es_temporada_alta,0
dato_muy_reciente,0
ID_ALIAS_ANALYTICS,0
es_fin_semana,0
alias_frecuencia_log,0
loc_num_registros,0
alias_coef_variacion_sqrt,0
dato_muy_reciente_win,0
