feature,importance
alias_popularidad_Media,0.0868188
mes_sen,0.0808971
loc_tamaño_Pequeña,0.059315085
mes_cos,0.055774376
alias_coef_variacion,0.05351548
es_alias_popular_loc_grande,0.05024347
alias_pct_temporada_alta,0.05001551
dato_reciente,0.049056962
alias_pct_fin_semana,0.04869746
dato_medio,0.044454925
dia_semana_sen,0.04151002
weekday,0.041507512
antiguedad_normalizada,0.040344924
es_alias_popular_loc_pequeña,0.04002093
alias_frecuencia,0.039301142
loc_tamaño_Grande,0.039043903
loc_diversidad_alias,0.038890235
dia_semana_cos,0.03708491
semana_del_año,0.036643315
loc_tamaño_Mediana,0.03367402
dia_del_año,0.033189826
ID_AJENO,0.0
ID_ALIAS_ANALYTICS,0.0
es_temporada_alta,0.0
es_fin_semana,0.0
dato_antiguo,0.0
dato_muy_reciente,0.0
alias_frecuencia_log,0.0
loc_num_registros,0.0
alias_popularidad_Baja,0.0
alias_popularidad_Alta,0.0
alias_coef_variacion_sqrt,0.0
dato_muy_reciente_win,0.0
