,CV_MAE_Mean,CV_MAE_Std,CV_R2_Mean,CV_R2_Std,Test_MAE,Test_RMSE,Test_R2,Test_SMAPE
Linear Regression (Log),1.0288347464277119,0.040135970723752024,0.4116849106932995,0.02949391651721619,603.447618887528,1215.8054656169438,0.15665254644019466,86.18959096014281
Ridge Regression (Log),1.0280486894797558,0.039173302011082926,0.4122377982080788,0.028348347425243885,608.0473228935278,1224.3296746573633,0.1447853993384789,86.63090101925106
Lasso Regression (Log),1.0963464513452164,0.03224706097883234,0.3493718914382119,0.020213363248222753,638.4791144574668,1315.6860256901864,0.01239591188077327,88.77767538078729
Elastic Net (Log),1.0730824369020984,0.03382550028010312,0.3711189538076554,0.023607109019614526,627.7341478142056,1295.1876269594313,0.04292994325024746,87.48962774828273
Random Forest (Log),0.8245213871306877,0.039419628930708966,0.6193328938471285,0.024208130276528808,497.675301775335,1028.7247838098178,0.3962227279238443,67.913183179341
Gradient Boosting (Log),0.7891058095475814,0.031321437619030806,0.6462820731726077,0.026613879236131403,490.86528623723257,1022.4816185178277,0.4035289446696646,65.87431415464079
XGBoost (Log),0.7963589689133307,0.02751572813052184,0.6410827837424012,0.027214415254296347,489.6560448232719,1021.939554115828,0.40416121035574726,66.08227490971824
LightGBM (Log),0.813039757004711,0.02583671405577992,0.6268510527523434,0.022151368692518093,500.18466994719086,1038.8995379196065,0.38422016725472585,68.28842743595366
SVR (Log),0.9758366277322377,0.037276490896744126,0.43531249689010876,0.035402335161798915,564.9630846042841,1123.639974933678,0.2796679840625914,80.55270691608547
K-Nearest Neighbors (Log),1.0348402570294524,0.036392583430779564,0.38538583224644907,0.04969390153061412,621.6709902175866,1281.5459464606404,0.06298462363582213,82.04485154228026
Linear Regression,1467.1165606409818,158.6493621442405,-0.15570488861446263,0.3738023019377637,1006.7162014279768,1624.3738295926394,-0.5053944929714616,127.28436904701003
Ridge Regression,1451.6242991010993,165.4594616305524,-0.14108562879976105,0.3562544848446376,989.9684103716165,1592.169029146873,-0.4462943801327912,126.042557673068
Lasso Regression,1455.2701265852288,165.81795523920826,-0.14278034810587187,0.3570172240151277,992.0552551980434,1594.7057307614402,-0.4509066290442918,126.03016139293055
Elastic Net,1364.2921956896075,175.98706505185007,-0.10486977941059417,0.30719197853105584,952.8940031430986,1538.2436708614525,-0.3499840234596827,120.30421378096125
Random Forest,1093.2772241118003,198.6672493434065,-0.40146079362742776,1.004086406626468,794.3066893032922,2127.1251709054136,-1.5814543451058536,80.76843961938724
Gradient Boosting,1099.2256468135956,123.39893975041426,-5.373099536943485,8.530900397015083,1082.9856062920835,6500.658740724993,-23.109771304510147,85.211337211955
XGBoost,1131.305858153896,132.2969292289035,-4.904131295981853,7.619222635206757,1086.428329662255,5917.317805843562,-18.976902265581217,88.97751758311301
LightGBM,1151.2446565260957,156.41763141421077,-0.3680370168643566,0.6571824948847012,863.2249633554986,2078.715169139377,-1.4652917687034086,92.8234008060339
SVR,1040.737013570486,252.3515686663721,-0.04198966228672631,0.02373101109078144,699.6210910624055,1412.229261339665,-0.13785983265077473,97.16026160051722
K-Nearest Neighbors,1107.2495988428311,196.2606232222818,-0.5609315808381684,1.043253168949248,794.9205774282427,2371.602716761284,-2.208944703981804,83.82331153921947
