feature,importance
loc_tamaño_Pequeña,0.40956783764765514
alias_pct_temporada_alta,0.1792862503065441
alias_frecuencia,0.1437364177695508
alias_frecuencia_log,0.07221817834638247
loc_diversidad_alias,0.06583708262563462
alias_coef_variacion_sqrt,0.038511878905260345
alias_pct_fin_semana,0.03234912000234498
alias_coef_variacion,0.028968980617024975
loc_num_registros,0.011081902420164403
loc_tamaño_Grande,0.00886843090221254
dia_semana_sen,0.0072808726240819535
es_alias_popular_loc_grande,0.002293047833143859
ID_AJENO,0.0
dia_del_año,0.0
es_fin_semana,0.0
semana_del_año,0.0
ID_ALIAS_ANALYTICS,0.0
antiguedad_normalizada,0.0
dato_antiguo,0.0
dato_medio,0.0
dato_reciente,0.0
es_temporada_alta,0.0
dato_muy_reciente,0.0
dia_semana_cos,0.0
mes_cos,0.0
weekday,0.0
mes_sen,0.0
es_alias_popular_loc_pequeña,0.0
alias_popularidad_Alta,0.0
alias_popularidad_Media,0.0
alias_popularidad_Baja,0.0
loc_tamaño_Mediana,0.0
dato_muy_reciente_win,0.0
