feature,importance_mean,importance_std
alias_pct_fin_semana,0.08251399000680293,0.01801940588400191
alias_coef_variacion_sqrt,0.05377333659360335,0.014589626496754726
alias_pct_temporada_alta,0.03894326707568983,0.007771841844479096
alias_frecuencia,0.010264113108349005,0.010440101645950455
ID_AJENO,0.0,0.0
dia_semana_sen,0.0,0.0
ID_ALIAS_ANALYTICS,0.0,0.0
semana_del_año,0.0,0.0
weekday,0.0,0.0
dato_reciente,0.0,0.0
dato_medio,0.0,0.0
dato_muy_reciente,0.0,0.0
es_temporada_alta,0.0,0.0
dato_antiguo,0.0,0.0
mes_sen,0.0,0.0
dia_semana_cos,0.0,0.0
es_fin_semana,0.0,0.0
loc_tamaño_Mediana,0.0,0.0
loc_tamaño_Pequeña,0.0,0.0
antiguedad_normalizada,0.0,0.0
loc_diversidad_alias,0.0,0.0
alias_frecuencia_log,0.0,0.0
alias_popularidad_Baja,0.0,0.0
alias_popularidad_Alta,0.0,0.0
es_alias_popular_loc_grande,0.0,0.0
dato_muy_reciente_win,0.0,0.0
alias_popularidad_Media,0.0,0.0
alias_coef_variacion,-0.00042069183769006814,0.006839790728177366
mes_cos,-0.0007343637879092451,0.015071104586422027
loc_num_registros,-0.0011609754924467198,0.0044292464082407255
dia_del_año,-0.002119750033847653,0.011270280069397861
es_alias_popular_loc_pequeña,-0.006497091851255868,0.004343265992026551
loc_tamaño_Grande,-0.03369421746308825,0.012540056578755003
