ID_ALIAS,accuracy,count,real_restock_rate,pred_restock_rate,avg_quantity_error,total_real_quantity,total_pred_quantity
120,0.917,12,0.083,0.0,645.833,7750.0,0.0
121,1.0,12,0.0,0.0,1005.0,12060.0,0.0
122,0.933,15,0.067,0.0,586.667,8800.0,0.0
123,1.0,5,0.8,0.8,46.436,570.0,460.821
124,0.65,20,0.4,0.75,141.866,2820.0,4319.246
125,0.467,15,0.2,0.6,492.453,3840.0,6981.987
126,0.692,13,0.462,0.615,339.895,7380.0,7283.519
127,0.375,24,0.292,0.917,619.36,11820.0,16476.207
129,0.588,17,0.353,0.412,61.107,640.0,1014.82
130,0.769,13,0.308,0.385,72.525,992.0,717.735
131,0.864,22,0.182,0.045,133.566,2760.0,418.457
133,0.55,20,0.55,1.0,142.935,2776.0,4597.635
134,0.81,21,0.19,0.095,130.362,2712.0,367.127
135,0.5,20,0.5,1.0,92.165,1320.0,2358.226
136,0.643,14,0.357,0.714,90.283,904.0,1855.813
137,0.533,15,0.467,0.0,1045.333,15680.0,0.0
138,0.706,17,0.176,0.118,1928.716,30202.0,8986.173
139,0.654,26,0.115,0.385,1264.6,17800.0,29378.365
140,0.583,24,0.458,0.792,896.217,32100.0,40932.785
141,0.9,20,0.15,0.05,4741.963,102600.0,7760.746
142,0.75,20,0.3,0.35,984.531,29000.0,20406.347
143,0.818,11,0.182,0.0,759.091,8350.0,0.0
144,0.9,10,0.0,0.1,189.516,2700.0,1115.159
145,0.95,20,0.05,0.0,992.0,19840.0,0.0
146,0.846,13,0.154,0.0,182.308,2370.0,0.0
147,0.824,17,0.118,0.059,450.212,7500.0,393.603
148,0.769,13,0.231,0.308,822.291,9600.0,4996.465
149,1.0,1,0.0,0.0,0.0,0.0,0.0
156,1.0,2,0.0,0.0,108.0,216.0,0.0
158,0.0,1,0.0,1.0,53.649,100.0,46.351
162,1.0,2,0.5,0.5,44.382,150.0,238.765
164,1.0,1,0.0,0.0,0.0,0.0,0.0
165,1.0,5,0.2,0.2,157.163,900.0,114.187
166,1.0,9,0.0,0.0,168.889,1520.0,0.0
167,0.833,6,0.167,0.333,293.333,1760.0,1629.875
168,0.5,6,0.5,1.0,237.469,1960.0,1605.407
169,0.714,7,0.429,0.714,367.359,2400.0,2381.633
170,0.667,6,0.667,1.0,109.662,800.0,1371.367
171,0.75,4,0.0,0.25,34.346,60.0,77.383
172,0.571,7,0.429,0.286,51.646,350.0,91.52
173,1.0,7,0.143,0.143,11.654,130.0,48.421
174,0.8,5,0.6,0.8,89.255,600.0,335.591
175,0.9,10,0.1,0.2,60.554,480.0,468.038
176,0.667,9,0.556,0.667,173.339,1620.0,2035.288
177,0.333,6,0.0,0.667,24.973,0.8,149.039
178,0.5,2,0.0,0.5,5.108,2.8,7.417
179,0.375,8,0.375,1.0,23.049,13.6,195.984
180,0.5,8,0.375,0.625,5.893,30.0,61.141
182,0.923,13,0.077,0.154,5.055,20.0,61.71
183,0.833,6,0.667,0.833,44.618,132.0,327.917
184,0.875,8,0.375,0.25,6.093,54.0,36.943
185,0.833,6,0.167,0.333,11.088,80.0,146.526
186,0.667,9,0.333,0.667,16.056,130.0,208.363
187,1.0,2,0.0,0.0,15.0,30.0,0.0
188,1.0,3,0.333,0.333,117.265,450.0,98.204
189,0.667,3,0.0,0.333,104.217,250.0,362.652
191,0.8,5,0.0,0.2,27.887,28.0,111.436
192,1.0,7,0.0,0.0,3600.0,25200.0,0.0
201,1.0,4,0.0,0.0,360.0,1440.0,0.0
202,0.667,6,0.333,0.333,138.405,936.0,252.227
203,0.667,3,0.333,0.667,41.724,192.0,99.608
204,1.0,4,0.0,0.0,40.0,160.0,0.0
205,1.0,2,0.0,0.0,180.0,360.0,0.0
207,0.667,3,0.0,0.333,74.011,240.0,462.033
208,0.8,5,0.4,0.2,1491.427,10500.0,3042.865
209,1.0,5,0.0,0.0,0.0,0.0,0.0
210,1.0,6,0.167,0.167,27.664,165.0,120.985
211,1.0,9,0.111,0.111,78.417,760.0,54.251
212,0.889,9,0.0,0.111,20.531,90.0,94.782
213,1.0,6,0.0,0.0,153.333,920.0,0.0
214,0.667,9,0.333,0.222,522.296,4500.0,2000.667
215,1.0,5,0.0,0.0,140.0,700.0,0.0
216,0.875,8,0.125,0.0,287.5,2300.0,0.0
217,1.0,8,0.0,0.0,212.5,1700.0,0.0
218,0.75,8,0.125,0.125,333.04,1900.0,764.323
219,0.6,5,0.2,0.6,13.626,126.0,151.28
220,0.6,5,0.6,1.0,91.901,1120.0,868.935
221,0.833,12,0.5,0.667,8.512,192.0,238.273
222,0.714,7,0.286,0.571,5.395,32.0,69.767
223,0.5,8,0.0,0.5,91.473,0.0,731.786
224,0.9,10,0.2,0.1,4.169,80.0,41.686
225,0.714,7,0.143,0.429,57.173,300.0,268.75
226,0.75,8,0.125,0.125,129.31,840.0,194.481
227,0.632,19,0.526,0.789,129.052,1095.0,2816.362
228,0.933,15,0.067,0.0,9640.0,144600.0,0.0
229,0.929,14,0.214,0.143,526.312,8220.0,851.636
230,0.933,15,0.067,0.0,196.0,2940.0,0.0
231,0.833,12,0.0,0.167,276.769,2950.0,671.227
232,0.824,17,0.176,0.0,280.0,4760.0,0.0
233,0.833,12,0.167,0.0,493.333,5920.0,0.0
234,0.6,15,0.4,0.133,136.536,1740.0,756.535
235,0.842,19,0.211,0.053,102.269,2820.0,876.889
236,0.368,19,0.316,0.947,510.559,9060.0,10018.038
237,0.538,13,0.154,0.615,343.088,3600.0,5794.299
238,0.429,14,0.429,1.0,239.202,2190.0,3438.608
239,0.5,12,0.25,0.75,1687.062,27600.0,35694.549
240,0.9,20,0.15,0.05,5.674,153.0,80.472
241,0.357,14,0.286,0.929,2032.011,11400.0,39848.159
242,0.933,15,0.067,0.0,2464.0,36960.0,0.0
