threshold,accuracy,service_rate,stock_savings,financial_impact
0.3,0.3822260569456428,0.9922346850733391,1328855.9322101565,13288379.322101565
0.35,0.3899913718723037,0.99137187230371,1310536.396581989,13105163.96581989
0.4,0.4029335634167386,0.9930974978429681,1286721.0002653713,12867050.002653712
0.45,0.41069887834339946,0.9922346850733391,1268401.4646372038,12683834.646372039
0.48,0.4141501294219154,0.99137187230371,1259241.6968231201,12592216.968231201
0.5,0.4245038826574633,0.9887834339948232,1241907.955230713,12418819.552307129
0.55,0.4426229508196721,0.9775668679896462,1158840.8259277344,11587888.259277344
0.6,0.457290767903365,0.9646246764452114,1110153.8708496094,11100718.708496094
0.65,0.454702329594478,0.9430543572044866,1033750.0245780945,10336180.245780945
0.7,0.4831751509922347,0.9370146678170836,972628.2312164307,9724822.312164307
