ID_LOCALIZACION_COMPRA,accuracy,count,real_restock_rate,pred_restock_rate,avg_quantity_error,total_real_quantity,total_pred_quantity
2,1.0,1,1.0,1.0,11.071,60.0,71.071
17,0.0,1,1.0,0.0,960.0,960.0,0.0
21,1.0,1,0.0,0.0,0.0,0.0,0.0
22,1.0,1,0.0,0.0,0.0,0.0,0.0
23,1.0,1,0.0,0.0,0.0,0.0,0.0
29,1.0,1,0.0,0.0,0.0,0.0,0.0
39,0.0,1,0.0,1.0,171.026,0.0,171.026
44,1.0,1,0.0,0.0,0.0,0.0,0.0
45,1.0,1,0.0,0.0,0.0,0.0,0.0
47,1.0,1,1.0,1.0,28.935,480.0,508.935
52,1.0,1,0.0,0.0,0.0,0.0,0.0
53,1.0,1,0.0,0.0,0.0,0.0,0.0
56,1.0,1,0.0,0.0,0.0,0.0,0.0
57,1.0,1,1.0,1.0,393.216,120.0,513.216
61,1.0,2,1.0,1.0,117.737,736.0,971.474
64,0.0,1,0.0,1.0,918.062,0.0,918.062
65,1.0,1,1.0,1.0,550.86,960.0,1510.86
76,1.0,1,0.0,0.0,0.0,0.0,0.0
78,1.0,1,0.0,0.0,0.0,0.0,0.0
80,0.0,1,0.0,1.0,126.023,0.0,126.023
93,1.0,3,0.0,0.0,0.0,0.0,0.0
97,0.0,1,0.0,1.0,109.345,0.0,109.345
102,1.0,1,0.0,0.0,0.0,0.0,0.0
109,0.0,1,1.0,0.0,7200.0,7200.0,0.0
115,1.0,1,0.0,0.0,0.0,0.0,0.0
118,0.0,1,0.0,1.0,93.259,0.0,93.259
120,1.0,1,0.0,0.0,0.0,0.0,0.0
126,1.0,1,1.0,1.0,2.627,128.0,125.373
129,1.0,1,0.0,0.0,0.0,0.0,0.0
139,1.0,1,0.0,0.0,0.0,0.0,0.0
145,1.0,1,1.0,1.0,100.065,32.0,132.065
147,1.0,1,1.0,1.0,54.001,64.0,118.001
151,1.0,1,0.0,0.0,0.0,0.0,0.0
157,1.0,1,0.0,0.0,0.0,0.0,0.0
160,1.0,1,0.0,0.0,0.0,0.0,0.0
168,1.0,1,0.0,0.0,0.0,0.0,0.0
180,0.0,1,0.0,1.0,129.804,0.0,129.804
181,0.0,1,0.0,1.0,139.274,0.0,139.274
187,1.0,1,0.0,0.0,0.0,0.0,0.0
192,1.0,1,0.0,0.0,0.0,0.0,0.0
197,0.0,1,0.0,1.0,225.983,0.0,225.983
199,0.5,2,0.0,0.5,63.269,0.0,126.539
201,1.0,1,0.0,0.0,0.0,0.0,0.0
203,1.0,1,0.0,0.0,0.0,0.0,0.0
207,0.0,1,1.0,0.0,3200.0,3200.0,0.0
221,1.0,1,0.0,0.0,0.0,0.0,0.0
229,1.0,1,0.0,0.0,0.0,0.0,0.0
233,0.0,1,0.0,1.0,88.585,0.0,88.585
250,1.0,2,0.0,0.0,0.0,0.0,0.0
251,1.0,1,0.0,0.0,0.0,0.0,0.0
256,0.0,1,0.0,1.0,631.565,0.0,631.565
258,1.0,1,0.0,0.0,0.0,0.0,0.0
260,1.0,1,1.0,1.0,23.603,60.0,83.603
265,1.0,2,0.0,0.0,0.0,0.0,0.0
267,1.0,1,0.0,0.0,0.0,0.0,0.0
281,1.0,1,1.0,1.0,32.611,160.0,127.389
288,0.5,2,0.5,0.0,200.0,400.0,0.0
293,1.0,3,0.667,0.667,575.758,2620.0,1147.194
295,1.0,1,0.0,0.0,0.0,0.0,0.0
306,0.0,1,0.0,1.0,136.402,0.0,136.402
322,1.0,1,1.0,1.0,372.688,1200.0,1572.688
332,1.0,1,1.0,1.0,16.065,240.0,223.935
341,1.0,1,0.0,0.0,0.0,0.0,0.0
370,1.0,1,0.0,0.0,0.0,0.0,0.0
379,1.0,2,0.0,0.0,0.0,0.0,0.0
387,1.0,2,0.0,0.0,0.0,0.0,0.0
391,0.0,1,1.0,0.0,152.0,152.0,0.0
528,1.0,2,0.0,0.0,0.0,0.0,0.0
695,1.0,1,0.0,0.0,0.0,0.0,0.0
696,1.0,1,0.0,0.0,0.0,0.0,0.0
697,1.0,1,0.0,0.0,0.0,0.0,0.0
698,1.0,1,0.0,0.0,0.0,0.0,0.0
699,1.0,1,0.0,0.0,0.0,0.0,0.0
746,1.0,1,0.0,0.0,0.0,0.0,0.0
790,0.0,1,0.0,1.0,504.747,0.0,504.747
834,1.0,1,0.0,0.0,0.0,0.0,0.0
853,1.0,2,0.0,0.0,0.0,0.0,0.0
904,1.0,1,0.0,0.0,0.0,0.0,0.0
916,0.0,1,0.0,1.0,521.199,0.0,521.199
920,1.0,2,0.0,0.0,0.0,0.0,0.0
946,0.0,1,1.0,0.0,2000.0,2000.0,0.0
