feature,importance
alias_coef_variacion,320
alias_pct_temporada_alta,184
antiguedad_normalizada,176
dia_del_año,175
alias_frecuencia,165
loc_diversidad_alias,164
alias_pct_fin_semana,144
dia_semana_sen,107
dia_semana_cos,61
semana_del_año,44
mes_cos,26
loc_tamaño_Pequeña,25
loc_tamaño_Grande,24
mes_sen,20
loc_tamaño_Mediana,19
dato_medio,15
alias_popularidad_Media,14
es_alias_popular_loc_pequeña,10
es_alias_popular_loc_grande,10
es_fin_semana,5
alias_popularidad_Baja,2
dato_reciente,1
dato_antiguo,1
alias_popularidad_Alta,1
es_temporada_alta,0
dato_muy_reciente,0
ID_AJENO,0
ID_ALIAS_ANALYTICS,0
alias_frecuencia_log,0
loc_num_registros,0
alias_coef_variacion_sqrt,0
dato_muy_reciente_win,0
