feature,importance
dato_medio,0.10041908
mes_sen,0.088392675
alias_popularidad_Media,0.08033335
loc_tamaño_Pequeña,0.053427216
es_alias_popular_loc_pequeña,0.0472385
alias_pct_fin_semana,0.04678418
alias_coef_variacion,0.04669649
mes_cos,0.046258867
alias_pct_temporada_alta,0.04464104
semana_del_año,0.042312242
alias_frecuencia,0.0407814
loc_tamaño_Grande,0.03797476
es_alias_popular_loc_grande,0.03615996
dia_semana_cos,0.035362266
es_fin_semana,0.034336194
dia_semana_sen,0.03414222
loc_diversidad_alias,0.033669766
dia_del_año,0.033637386
dato_reciente,0.03283486
antiguedad_normalizada,0.032762825
loc_tamaño_Mediana,0.0301252
dato_muy_reciente,0.021709561
ID_AJENO,0.0
ID_ALIAS_ANALYTICS,0.0
dato_antiguo,0.0
es_temporada_alta,0.0
alias_frecuencia_log,0.0
loc_num_registros,0.0
alias_popularidad_Baja,0.0
alias_popularidad_Alta,0.0
alias_coef_variacion_sqrt,0.0
dato_muy_reciente_win,0.0
